Frame Name;Short Description;Description;Category;Filter;Width (mm);Depth (mm);Moulding;Certified?
Ansel (Adams);slim matte black gallery moulding;A modern, slim profile black frame, perfect for most styles of art and photography.;standard;black;20;33;;FSC
Johannes (Vermeer);ornate darkwood moulding;A nod to the past. Slim and ornate, great for paintings and low key photography.;standard;brown;25;32;LJ-337593 Maralis II frame;none
Annie (Leibovitz);white with bare wood edges;An elegant white moulding with a bare wood edge. Great for wedding pics or high key art.;premium;white;43;27;LJ-2349902480;FSC
Claude (Monet);blue washed scoop moulding;elegant blue washed moulding works great with art of similar tonality. B&W photography looks good too.;standard;colour;30;24;LS-257907 Florentina 2;none
William (Turner);ornate darkwood scoop moulding;Our most regal frame, named after the great landscape artist Turner. perfect for classsic artworks or as a statement frame.;premium;brown;30;55;LJ-457593 Maralis II frame;none
Auguste (Rodin);textured traditional darkwood moulding;A bold and masculine frame with a traditional rustic feel. Great for countryside art and photography.;standard;brown;36;17;LJ-338120 Dresden Moulding;PEFC
Irving (Penn);slim white matte gallery moulding;Modern, slim white gallery frame, works with most things. Lets bold colours pop without competing.;standard;white;;;;
Brancaster (Norfolk);textured barewood;tones and texture of the place in Norfolk;standard;brown;20;32;LJ - 269250 Lancaster;none
Reedley (Dahlia);champagne with accents of orange;like the Reedley Dahlia in colour with hints of orange and a classic profile;standard;gold;23;25;LJ -  218140640;FSC
Perlino (horse colour);white washed scoop moulding;texture and colour like the perlino horse. great with all art and photography.;standad;white;23;21;NB - W102979;none
Villamil (Galapagos);champagne and black moulding;Brushed champagne with a hint of green framed with a black edge.;standard;silver;23;32;LJ-329233550;none
Robin (Hood);hardwood oak moulding;classic hardwood oak frame with a wax finish. ;hardwoods;brown;21;25;LJ-103200000 Barefaced Oak;none
Ashley (wood);hardwood ash moulding;One of our favs. Slightly more contempory than oak, with a wax finish - great in modern interiors.;hardwoods;brown;22;40;hardwood ash;FSC
;hardwood black walnut moulding;A beautiful dark brown hardwood finnished in clear wax.;hardwoods;brown;20;20;Lion-L1383;FSC
Hester (Bateman silversmith);distressed silver moulding;a elegant distressed silver frame with a subtle white edge. Its incredibly versetile and works with all colours;standard;silver;22;22;LJ-229901681 - Alora Moulding;FSC
Burnham (Beeches);Veneer burr wood moulding;We love this frame! Suprisingly works great with B&W photography.;standard;brown;30;13;LJ-324422000;none
Jemima (Puddleduck);matte pastel pink moulding;matte pastel pink frame. Kids love colour (and it pairs with Micky - pastel blue);standard;colour;23;23;LJ-140645 Confetti 2;none
Benjamin (Bunny);matte pastel baby blue moulding;matte pastel baby blue frame. Kids love colour (and it pairs with Minnie - pastel pink);standard;colour;23;23;LJ-140643 Confetti 2;none
George (Stubbs);dark brown with a guild edge moulding;Large classic frame for you country house interior. Perfect for that statement country painting or print.;premium;brown;40;35;LJ-468120 Dresden;PEFC
